2026/3/10 下午 3:14:52	9	9	9	7	7	7	7	7	同意	普通	非常同意	非常不同意	同意	非常不同意	同意	不同意	非常同意	非常不同意	音樂	無	80 歲以上	女	sess_1ho7dln6j	15:20~15:24	115筆		
2026/3/10 下午 3:27:21	9	9	9	7	7	7	7	7	同意	普通	非常同意	非常不同意	同意	非常不同意	同意	非常不同意	非常不同意	同意	動作煙火	可以有動作引導	60 – 69 歲	女	sess_qkoi1afwv	14:57~15:00	71筆		
2026/3/10 下午 3:31:17	9	7	9	6	6	6	4	6	非常同意	非常不同意	普通	非常不同意	同意	非常不同意	同意	非常不同意	普通	非常不同意	綜合	不用	70 – 79 歲	女	sess_v7jmg2ig7	15:15~15:19	76筆		
2026/3/10 下午 3:40:56	9	9	9	7	7	7	7	4	同意	同意	非常同意	非常不同意	同意	非常不同意	不同意	非常不同意	非常同意	非常不同意	愛心	yt 可以再大一點 人可以別的顏色  	50 – 59 歲	女	sess_508yxouvm	15:10~15:12	38筆		
2026/3/17 下午 3:54:53	8	8	9	6	7	7	5	7	同意	同意	非常同意	非常不同意	同意	非常不同意	同意	非常不同意	同意	同意	無	無	80 歲以上	女	sess_mqanqsxwc	14:52~14:55	67筆		
2026/3/17 下午 3:58:54	8	6	5	4	7	5	4	5	普通	非常同意	非常同意	非常不同意	不同意	不同意	同意	非常不同意	不同意	非常不同意	無	無	60 – 69 歲	男	sess_kqhdfa7nt	14:39~14:45	131筆		
2026/3/24 下午 3:55:00	7	9	6	7	4	5	6	7	普通	非常同意	同意	非常不同意	普通	非常不同意	同意	非常不同意	同意	同意	煙火	需要指示	70 – 79 歲	男	sess_d0fwwwug6	15:30~15:34	54筆		
2026/3/24 下午 3:57:51	8	8	9	5	5	7	7	7	同意	非常不同意	同意	非常同意	普通	非常同意	不同意	普通	普通	同意	煙火	不知道要做什麼動作	70 – 79 歲	男	sess_ytlau6ief	15:25~15:29	186筆		
2026/3/24 下午 7:20:49	8	9	8	7	7	7	7	7	同意	普通	同意	不同意	同意	不同意	非常同意	普通	非常同意	不同意	無	無	70 – 79 歲	女	sess_cnj5tzj33	14:47~14:50	80筆		
2026/3/10 上午 11:19:08	9	9	8	5	6	6	6	6	普通	不同意	同意	同意	同意	同意	同意	不同意	同意	同意	煙火	加入表情	80 歲以上	女	sess_sq0cryerl	NCNU_User...947	7分51秒	21	 玩了將近 8 分鐘，但扣掉 30 秒自動紀錄，他 8 分鐘內只自己觸發過 5 次動作 。
2026/3/10 上午 11:20:34	9	8	9	7	7	7	7	7	非常同意	非常不同意	非常同意	非常不同意	非常同意	非常不同意	非常同意	非常不同意	同意	非常不同意	音樂	無	70 – 79 歲	男 sess_g9qmb3sao	NCNU_User...453	7分08秒	35 筆	持續 7 分鐘，每分鐘觸發動作不到 3 次，代表他多數時間在緩慢擺動 。
2026/3/10 上午 11:23:02	9	9	9	7	7	7	7	7	非常同意	非常不同意	非常同意	非常不同意	非常同意	非常不同意	非常不同意	非常不同意	同意	非常不同意	畫面	沒有	80 歲以上	女	sess_gdjowb7lg	10:52~10:54	43筆		
2026/3/10 上午 11:24:21	9	5	9	4	5	7	7	7	同意	普通	非常同意	非常同意	普通	普通	同意	非常不同意	普通	不同意	音樂與身體的結合很有印象	覺得人的畫面太小可以變大一些	80 歲以上	女	sess_78e1t0qqz	11:30~11:34	147筆		
2026/3/10 上午 11:25:28	5	9	6	7	7	5	5	7	同意	同意	同意	同意	同意	不同意	普通	不同意	同意	同意	煙火	簡單一點	80 歲以上	女	sess_9ecydic1q	11:13~11:16	105筆		
2026/3/10 上午 11:25:31	9	9	6	7	7	5	5	7	同意	同意	同意	同意	同意	不同意	普通	不同意	同意	同意	手勢	不要太難	80 歲以上	女	sess_qks61zrp3	11:17~11:19	101筆		
2026/3/10 上午 11:27:40	8	7	9	6	6	6	7	6	普通	同意	同意	非常同意	同意	普通	同意	不同意	同意	同意	很好玩	覺得使用上需要有旁人協助，在使用電腦上面非常困難	70 – 79 歲	女	sess_wkabiktqx	11:05~11:07	84筆		
2026/3/10 上午 11:28:27	8	9	9	7	6	4	7	4	非常同意	非常不同意	非常同意	普通	非常同意	非常不同意	同意	同意	普通	非常不同意	無	沒差	80 歲以上	女	sess_ac72ltsox	11:00~11:02	76筆		
2026/3/10 上午 11:29:09	9	5	9	7	7	7	7	7	普通	普通	普通	普通	非常同意	普通	同意	非常不同意	同意	同意	無	無	80 歲以上	男	sess_kyzdclamk	11:21~11:24	74筆		
2026/3/10 上午 11:30:11	9	7	5	5	3	5	5	7	同意	同意	同意	同意	同意	不同意	同意	不同意	普通	普通	煙火	不要太難	80 歲以上	女	sess_pp60os06z	10:56~10:58	57筆		
2026/3/10 上午 11:31:24	9	8	9	5	6	7	7	6	不同意	不同意	非常同意	非常不同意	同意	非常不同意	同意	非常不同意	同意	非常不同意	無	無	80 歲以上	女	sess_t3q3il099	11:02~11:03	53筆		
2026/3/10 上午 11:31:50	6	7	6	4	4	4	4	5	同意	同意	同意	同意	同意	不同意	同意	不同意	同意	同意	無	增加其他特效	80 歲以上	女	sess_i3ygy9nml	11:09~11:11	47筆		
																											
																											
																											
																											
										時長雖久但動作較緩																	
	sess_zri853s6g	NCNU_User_1774335632605	2026-03-24T07:00:40.636Z	B	Heart	0.5	0.5	0.5	0.5	FALSE	0.2685	0.59	0.2238	0.6332	0.2651	0.4724	0.2214	0.4637									
	sess_zri853s6g	NCNU_User_1774335632605	2026-03-24T07:00:42.204Z	B	Fireworks_Explosion	0.5	0.5	0.5	0.5	FALSE	0.058	0.8143	0.0725	0.8061	0.0876	0.6073	0.0169	0.6284	right								
	sess_zri853s6g	NCNU_User_1774335632605	2026-03-24T07:00:42.496Z	B	Fireworks_Explosion	0.5	0.5	0.5	0.5	FALSE	0.0513	0.8176	0.0473	0.7957	0.0874	0.6073	0.0168	0.6287	left								
