sessionId	userId	timestamp	mode	activity	shape_n	weight_n	flow_n	kt	baselineReady	note								
sess_test	user_test	2026-03-13T14:19:33.965Z	B	Test	0.5	0.3	0.7	0.4	TRUE	testWrite OK								
sess_jadbcjt7e	anonymous	2026-03-23T15:52:58.545Z	B	Dance_Continuous	1	1	0	1	TRUE	0.733	0.4828	0.2	0.5006	0.7962	0.8801	0.2051	0.8519	30s_Interval_AutoLog
sess_jadbcjt7e	anonymous	2026-03-23T15:52:59.162Z	B	Fireworks_Explosion	1	1	0	1	TRUE	0.5983	0.0414	0.3079	0.09	0.7701	0.812	0.2364	0.789	left
sess_ajwwt62o4	NCNU_User_1773823799280	2026-03-18T08:50:34.363Z	B	Fireworks_Explosion	1	0.3622254978	0.7797810188	0.4719668425	TRUE	0.5056	0.4693	0.4077	0.2524	0.4765	0.3225	0.3906	0.3009	right
sess_ajwwt62o4	NCNU_User_1773823799280	2026-03-18T08:50:34.919Z	B	Victory	1	1	0	1	TRUE	0.5416	0.4226	0.3758	0.2205	0.4618	0.2986	0.3344	0.2824	right
sess_ajwwt62o4	NCNU_User_1773823799280	2026-03-18T08:50:35.556Z	B	Dance_Continuous	1	1	0	1	TRUE	0.49	0.4505	0.3168	0.2083	0.4373	0.2124	0.2973	0.1927	30s_Interval_AutoLog
sess_2q95tn33j	anonymous	2026-03-18T08:51:16.066Z	B	Victory	0.5	0.5	0.5	0.5	FALSE	0.3584	0.4573	0.2576	0.4415	0.3026	0.5047	0.2641	0.379	right
sess_2q95tn33j	anonymous	2026-03-18T08:51:17.533Z	B	Baseline_End	1	1	0.1818643781	0.9363474677	TRUE	0.6762	0.5899	0.6888	0.4494	0.7661	0.3092	0.7592	0.3119	baseline calibrated
sess_jot0ur7m8	anonymous	2026-03-24T02:07:56.163Z	B	Victory	0.5	0.5	0.5	0.5	FALSE	0.5824	0.497	0.745	0.7419	0.6547	0.6278	0.8199	0.6028	right
sess_jot0ur7m8	anonymous	2026-03-24T02:07:56.977Z	B	Baseline_End	1	0.7528569961	0.48791876	0.7303712324	TRUE	0.5885	0.4505	0.7877	0.7042	0.6541	0.6249	0.815	0.5913	baseline calibrated
sess_jot0ur7m8	anonymous	2026-03-24T02:08:08.118Z	B	Victory	1	0.0518494701	1	0.270739788	TRUE	0.6039	0.4125	0.684	0.3241	0.5687	0.4103	0.5923	0.4087	right
sess_jot0ur7m8	anonymous	2026-03-24T02:08:12.338Z	B	Victory	1	0	1	0.25	TRUE	0.5594	0.6128	0.5331	0.5645	0.5403	0.4345	0.5289	0.4288	left
sess_jot0ur7m8	anonymous	2026-03-24T02:08:16.198Z	B	Victory	1	0.05267961716	1	0.2710718469	TRUE	0.5579	0.6214	0.4998	0.6489	0.544	0.5212	0.5073	0.5151	right
sess_jot0ur7m8	anonymous	2026-03-24T02:08:17.483Z	B	Dance_Continuous	1	0.09082903221	0.926998286	0.3118822128	TRUE	0.5346	0.617	0.4795	0.6068	0.4936	0.5064	0.4701	0.5051	30s_Interval_AutoLog
sess_jot0ur7m8	anonymous	2026-03-24T02:08:18.610Z	B	Victory	1	0	1	0.25	TRUE	0.5372	0.6287	0.4912	0.5944	0.4964	0.5074	0.4721	0.5054	left
sess_jot0ur7m8	anonymous	2026-03-24T02:08:22.709Z	B	Victory	1	0.3684451849	0.3306602266	0.6316469946	TRUE	0.4952	0.5839	0.5116	0.6056	0.4654	0.5083	0.454	0.5077	right
sess_jot0ur7m8	anonymous	2026-03-24T02:08:27.828Z	B	Victory	1	0	1	0.25	TRUE	0.4965	0.5808	0.4966	0.576	0.4665	0.5082	0.4564	0.5132	right
sess_jot0ur7m8	anonymous	2026-03-24T02:08:30.755Z	B	Victory	0.9672921699	0.0591828684	0.7350010045	0.3582458382	TRUE	0.5144	0.6087	0.5145	0.6082	0.4709	0.5071	0.4511	0.5195	left
sess_jot0ur7m8	anonymous	2026-03-24T02:08:33.535Z	B	Victory	1	0	1	0.25	TRUE	0.3869	0.5608	0.3873	0.5669	0.3557	0.4868	0.3467	0.4879	left
sess_2g0li8h4t	anonymous	2026-03-24T02:38:43.060Z	B	Victory	0.5	0.5	0.5	0.5	FALSE	0.4412	0.7743	0.2576	0.4764	0.4224	0.7009	0.3023	0.6989	right
sess_2g0li8h4t	anonymous	2026-03-24T02:38:45.056Z	B	Victory	0.5	0.5	0.5	0.5	FALSE	0.4281	1.0446	0.2452	0.4721	0.4246	0.7155	0.3078	0.7092	right
sess_2g0li8h4t	anonymous	2026-03-24T02:38:47.847Z	B	Baseline_End	0.4607013437	1	0.5472891244	0.6736241424	TRUE	0.5494	0.5584	0.0179	0.5992	0.4239	0.699	0.2971	0.6788	baseline calibrated
