sessionId	userId	timestamp	mode	activity	shape	weight	flow	kt	shape_n	weight_n	flow_n	baselineReady	note
2026-03-04T05:48:31.780Z	20260304054757	NCNU_User_01	A	Victory	3.6622	0.0176	0.4621	0.4453	1	0.0176	0.4621	FALSE	left
2026-03-04T05:48:41.539Z	20260304054757	NCNU_User_01	A	Victory	3.3271	0.0078	0.5668	0.4047	1	0.0078	0.5668	FALSE	left
2026-03-04T05:48:47.281Z	20260304054757	NCNU_User_01	A	Victory	3.6711	0.0192	0.4471	0.4512	1	0.0192	0.4471	FALSE	left
2026-03-04T05:49:01.641Z	20260304054757	NCNU_User_01	A	Dance_Continuous	3.3208	0.0061	0.6767	0.4435	0.7043	0.3293	0.6122	TRUE	30s_Interval_AutoLog
2026-03-04T05:49:10.287Z	20260304054757	NCNU_User_01	A	Victory	2.8949	0.0187	0.4158	0.606	0.6285	0.5765	0.3762	TRUE	left
2026-03-04T05:49:17.783Z	20260304054757	NCNU_User_01	A	Heart	1.1267	0.0284	0.1541	0.6855	0.3138	0.7647	0.1396	TRUE	
2026-03-04T05:49:22.689Z	20260304054757	NCNU_User_01	A	Heart	0.2416	0.0055	0.6381	0.3141	0.1563	0.3178	0.5773	TRUE	
2026-03-04T05:49:21.696Z	20260304054757	NCNU_User_01	A	Heart	0.6435	0.0083	0.5037	0.3967	0.2278	0.3733	0.4558	TRUE	
2026-03-04T05:49:23.653Z	20260304054757	NCNU_User_01	A	Heart	0.2677	0.0054	0.6468	0.312	0.1609	0.3166	0.5852	TRUE	
2026-03-04T05:49:24.505Z	20260304054757	NCNU_User_01	A	Heart	0.2191	0.0027	0.8406	0.2273	0.1523	0.2636	0.7605	TRUE	
2026-03-04T05:49:22.905Z	20260304054757	NCNU_User_01	A	Heart	0.2499	0.0048	0.6787	0.296	0.1578	0.3038	0.6141	TRUE	
2026-03-04T05:49:25.000Z	20260304054757	NCNU_User_01	A	Heart	0.2893	0.0026	0.872	0.2199	0.1648	0.2621	0.7889	TRUE	
2026-03-04T05:49:23.095Z	20260304054757	NCNU_User_01	A	Heart	0.2762	0.004	0.7134	0.2804	0.1625	0.2892	0.6454	TRUE	
2026-03-04T05:49:26.016Z	20260304054757	NCNU_User_01	A	Heart	0.2842	0.0014	0.8999	0.2012	0.1639	0.2379	0.8141	TRUE	
2026-03-04T05:49:25.400Z	20260304054757	NCNU_User_01	A	Heart	0.3106	0.0029	0.8396	0.233	0.1686	0.2667	0.7596	TRUE	
2026-03-04T05:49:25.818Z	20260304054757	NCNU_User_01	A	Heart	0.3327	0.0016	0.8909	0.2081	0.1725	0.2427	0.806	TRUE	
