SubjectID,Timestamp,SAM_Valence,SAM_Arousal,SAM_Dominance,MVM_Q1(Weight),MVM_Q2(Time),MVM_Q3(CrossModal),MVM_Q4(Intuition),MVM_Q5(Aesthetics),SUS_Q1,SUS_Q2,SUS_Q3,SUS_Q4,SUS_Q5,SUS_Q6,SUS_Q7,SUS_Q8,SUS_Q9,SUS_Q10,SUS_Score,Qual_Q1,Qual_Q2,Age,Gender,SessionID
S01,2026/3/10 下午 3:14:52,9,9,9,7,7,7,7,7,4,3,5,1,4,1,4,2,5,1,85,音樂,無,80 歲以上,女,sess_1ho7dln6j
S02,2026/3/10 下午 3:27:21,9,9,9,7,7,7,7,7,4,3,5,1,4,1,4,1,1,4,70,動作煙火,可以有動作引導,60 – 69 歲,女,sess_qkoi1afwv
S03,2026/3/10 下午 3:31:17,9,7,9,6,6,6,4,6,5,1,3,1,4,1,4,1,3,1,85,綜合,不用,70 – 79 歲,女,sess_v7jmg2ig7
S04,2026/3/10 下午 3:40:56,9,9,9,7,7,7,7,4,4,4,5,1,4,1,2,1,5,1,80,愛心,yt 可以再大一點 人可以別的顏色  ,50 – 59 歲,女,sess_508yxouvm
S05,2026/3/17 下午 3:54:53,8,8,9,6,7,7,5,7,4,4,5,1,4,1,4,1,4,4,75,無,無,80 歲以上,女,sess_mqanqsxwc
S06,2026/3/17 下午 3:58:54,8,6,5,4,7,5,4,5,3,5,5,1,2,2,4,1,2,1,65,無,無,60 – 69 歲,男,sess_kqhdfa7nt
S07,2026/3/24 下午 3:55:00,7,9,6,7,4,5,6,7,3,5,4,1,3,1,4,1,4,4,65,煙火,需要指示,70 – 79 歲,男,sess_d0fwwwug6
S08,2026/3/24 下午 3:57:51,8,8,9,5,5,7,7,7,4,1,4,5,3,5,2,3,3,4,45,煙火,不知道要做什麼動作,70 – 79 歲,男,sess_ytlau6ief
S09,2026/3/24 下午 7:20:49,8,9,8,7,7,7,7,7,4,3,4,2,4,2,5,3,5,2,75,無,無,70 – 79 歲,女,sess_cnj5tzj33
S10,2026/3/10 上午 11:19:08,9,9,8,5,6,6,6,6,3,2,4,4,4,4,4,2,4,4,57.5,煙火,加入表情,80 歲以上,女,sess_88xydg631
S11,2026/3/10 上午 11:20:34,9,8,9,7,7,7,7,7,5,1,5,1,5,1,5,1,4,1,97.5,音樂,無,70 – 79 歲,男,sess_g9qmb3sao
S12,2026/3/10 上午 11:23:02,9,9,9,7,7,7,7,7,5,1,5,1,5,1,1,1,4,1,87.5,畫面,沒有,80 歲以上,女,sess_rw7kcxk8s
S13,2026/3/10 上午 11:24:21,9,5,9,4,5,7,7,7,4,3,5,5,3,3,4,1,3,2,62.5,音樂與身體的結合很有印象,覺得人的畫面太小可以變大一些,80 歲以上,女,sess_78e1t0qqz
S14,2026/3/10 上午 11:25:28,5,9,6,7,7,5,5,7,4,4,4,4,4,2,3,2,4,4,57.5,煙火,簡單一點,80 歲以上,女,sess_9ecydic1q
S15,2026/3/10 上午 11:25:31,9,9,6,7,7,5,5,7,4,4,4,4,4,2,3,2,4,4,57.5,手勢,不要太難,80 歲以上,女,sess_qks61zrp3
S16,2026/3/10 上午 11:27:40,8,7,9,6,6,6,7,6,3,4,4,5,4,3,4,2,4,4,52.5,很好玩,覺得使用上需要有旁人協助，在使用電腦上面非常困難,70 – 79 歲,女,sess_wkabiktqx
S17,2026/3/10 上午 11:28:27,8,9,9,7,6,4,7,4,5,1,5,3,5,1,4,4,3,1,80,無,沒差,80 歲以上,女,sess_ac72ltsox
S18,2026/3/10 上午 11:29:09,9,5,9,7,7,7,7,7,3,3,3,3,5,3,4,1,4,4,62.5,無,無,80 歲以上,男,sess_kyzdclamk
S19,2026/3/10 上午 11:30:11,9,7,5,5,3,5,5,7,4,4,4,4,4,2,4,2,3,3,60,煙火,不要太難,80 歲以上,女,sess_pp60os06z
S20,2026/3/10 上午 11:31:24,9,8,9,5,6,7,7,6,2,2,5,1,4,1,4,1,4,1,82.5,無,無,80 歲以上,女,sess_t3q3il099
S21,2026/3/10 上午 11:31:50,6,7,6,4,4,4,4,5,4,4,4,4,4,2,4,2,4,4,60,無,增加其他特效,80 歲以上,女,sess_i3ygy9nml
S22,2026/3/30 上午 11:00:03,8,6,8,6,7,5,6,7,4,2,5,3,5,2,5,1,4,1,85,煙火,無,80 歲以上,男,sess_7jt26w6mo
S23,2026/3/30 上午 11:01:26,9,7,7,6,7,6,5,6,4,4,4,2,4,1,4,1,4,1,77.5,煙火,無,80 歲以上,女,sess_2bckmgz3q
S24,2026/3/30 上午 11:06:57,9,8,9,7,7,7,6,7,3,5,5,1,5,1,2,2,2,1,67.5,煙火,無,80 歲以上,女,sess_pbcvi4r6t
S25,2026/3/30 上午 11:08:39,8,9,9,7,7,7,7,6,4,4,4,2,4,1,1,1,4,3,65,可以做運動深度,無,70 – 79 歲,女,sess_bqcd1xt8k
S26,2026/3/30 上午 11:22:26,8,6,7,7,6,5,6,5,4,4,4,2,4,3,5,2,2,2,65,煙火,無,60 – 69 歲,男,sess_5wppdidjf
S27,2026/3/30 上午 11:24:02,9,8,7,7,6,7,7,7,4,4,5,1,4,1,4,4,3,2,70,搖擺,無,70 – 79 歲,男,sess_oqwg2e16f
S28,2026/3/30 下午 1:08:18,8,6,4,7,7,7,7,7,3,4,4,1,4,1,1,1,4,2,67.5,鳥,無,60 – 69 歲,女,sess_5gzcwnr12
S29,2026/3/30 下午 1:09:53,8,7,7,5,4,5,3,6,4,2,4,3,3,2,5,2,5,2,75,愛心,無,60 – 69 歲,女,sess_svfq1mtx5
S30,2026/3/30 下午 1:12:19,9,9,8,7,4,4,3,5,3,4,4,4,4,2,4,2,3,4,55,跳舞,無,70 – 79 歲,女,sess_t0m1tmnkq
S31,2026/3/30 下午 1:13:35,9,9,9,7,7,7,7,7,4,4,4,2,4,2,5,2,4,2,72.5,無,無,80 歲以上,女,sess_egorond48
S32,2026/3/30 下午 1:16:44,9,9,9,7,7,7,7,7,3,4,5,1,5,1,5,1,5,3,82.5,比ya,很棒,80 歲以上,女,sess_260xm8yax
Mean,,8.38,7.81,7.84,6.25,6.16,6.09,6.00,6.34,3.78,3.22,4.38,2.34,4.03,1.78,3.69,1.69,3.66,2.44,70.16,,,,,
SD,,0.94,1.31,1.51,1.05,1.19,1.09,1.30,0.94,0.71,1.26,0.61,1.45,0.69,1.01,1.20,0.86,0.97,1.29,11.96,,,,,
